% Boots dataset from Thomas Munz
@RELATION boots

@ATTRIBUTE Brand {"BRIGGS", "Bugatti", "LUMBERJACK", "M-Shoes", "Reebok", "Rieker", "SALAMANDER", "Thomas Munz", "Thomas Munz black", "U.S. POLO ASSN."}
@ATTRIBUTE Type {"Ботинки", "Ботинки work boots", "Треки"}
@ATTRIBUTE Color {"Бежевый", "Белый", "Желтый", "Зеленый", "Коричневый", "Мульти", "Песочный", "Рыжий", "Серый", "Синий", "Хаки", "Черный"}
@ATTRIBUTE Gender {"Муж."}
@ATTRIBUTE Season {"Весна-осень", "Зима"}
@ATTRIBUTE Price NUMERIC
@ATTRIBUTE Old price NUMERIC
@ATTRIBUTE Upper Material {"Велюр", "Замша", "Искусственная кожа", "КРС", "Кожа из спилка", "Натуральная кожа", "Нубук", "Спилок", "Текстиль", "Шевро"}
@ATTRIBUTE Lining Material {"Велюр", "Войлок", "Ворсин", "Искуcственная шерсть", "Искусственный мех", "Натуральная кожа", "Натуральная шерсть", "Натуральный мех", "Полушерсть", "Спилок", "Текстиль", "Шерсть"}
@ATTRIBUTE Insole Material {"Велюр", "Войлок", "Ворсин", "Искуcственная шерсть", "Искусственный мех", "КРС", "Натуральная кожа", "Натуральная шерсть", "Натуральный мех", "Текстиль", "Шевро", "Шерсть"}
@ATTRIBUTE Sole Material {"Полиуретан", "Резина", "ТЭП", "ЭВА"}
@ATTRIBUTE Perforation {"Без перфорации", "Декоративная", "Нет"}
@ATTRIBUTE Closure Type {"Молния", "Молния/Пряжка", "Молния/Резинка", "Молния/Шнурки", "Резинка", "Шнурки"}
@ATTRIBUTE Heel Height (mm) NUMERIC
@ATTRIBUTE Upper Height (mm) NUMERIC
@ATTRIBUTE Width NUMERIC

@DATA
"Thomas Munz","Ботинки","Коричневый","Муж.","Зима",8189.0,11699.0,"Натуральная кожа","Натуральная шерсть","Натуральная шерсть","Резина","Нет","Молния",34,100,6
"Thomas Munz","Ботинки","Черный","Муж.","Зима",8189.0,11699.0,"Натуральная кожа","Натуральная шерсть","Натуральная шерсть","Резина","Нет","Молния",34,100,6
"SALAMANDER","Ботинки","Коричневый","Муж.","Зима",11199.0,15999.0,"Натуральная кожа","Натуральный мех","Натуральный мех","Резина","Нет","Шнурки",35,100,6
"Thomas Munz","Ботинки","Синий","Муж.","Зима",7559.0,10799.0,"Кожа из спилка","Натуральная шерсть","Натуральная шерсть","ТЭП","Нет","Молния/Шнурки",32,95,6
"Thomas Munz","Ботинки","Черный","Муж.","Зима",8959.0,12799.0,"Натуральная кожа","Натуральная шерсть","Натуральная шерсть","Резина","Нет","Молния/Шнурки",25,135,6
"Thomas Munz","Ботинки","Черный","Муж.","Зима",9169.0,13099.0,"Натуральная кожа","Натуральная шерсть","Натуральная шерсть","ТЭП","Декоративная","Молния/Шнурки",40,95,6
"SALAMANDER","Ботинки","Синий","Муж.","Зима",9729.0,13899.0,"Натуральная кожа","Натуральная шерсть","Натуральная шерсть","Резина","Нет","Молния/Шнурки",30,75,6
"SALAMANDER","Ботинки","Черный","Муж.","Зима",9729.0,13899.0,"Натуральная кожа","Натуральная шерсть","Натуральная шерсть","Резина","Нет","Молния/Шнурки",30,75,6
"Thomas Munz","Ботинки","Песочный","Муж.","Зима",8959.0,12799.0,"Нубук","Натуральная шерсть","Натуральная шерсть","ТЭП","Нет","Молния/Шнурки",40,125,6
"SALAMANDER","Ботинки","Черный","Муж.","Зима",11689.0,16699.0,"Натуральная кожа","Натуральная шерсть","Натуральная шерсть","Резина","Нет","Молния/Шнурки",30,120,6
"SALAMANDER","Ботинки","Черный","Муж.","Зима",12249.0,17499.0,"Нубук","Натуральный мех","Натуральный мех","Резина","Нет","Молния",35,115,6
"Thomas Munz","Ботинки","Черный","Муж.","Зима",9799.0,13999.0,"Натуральная кожа","Натуральная шерсть","Натуральная шерсть","ТЭП","Нет","Молния/Шнурки",35,135,6
"SALAMANDER","Ботинки","Бежевый","Муж.","Зима",10289.0,14699.0,"Нубук","Натуральная шерсть","Натуральная шерсть","ТЭП","Нет","Молния/Шнурки",30,110,6
"Thomas Munz","Ботинки","Черный","Муж.","Зима",9799.0,13999.0,"Натуральная кожа","Натуральная шерсть","Натуральная шерсть","ЭВА","Нет","Молния/Шнурки",35,150,6
"Thomas Munz","Ботинки","Коричневый","Муж.","Зима",8049.0,11499.0,"Нубук","Натуральная шерсть","Натуральная шерсть","ТЭП","Нет","Молния/Шнурки",40,100,6
"Thomas Munz","Ботинки","Синий","Муж.","Зима",8049.0,11499.0,"Нубук","Натуральная шерсть","Натуральная шерсть","ТЭП","Нет","Молния/Шнурки",40,100,6
"Thomas Munz","Ботинки","Коричневый","Муж.","Зима",9169.0,13099.0,"Натуральная кожа","Натуральная шерсть","Натуральная шерсть","ТЭП","Декоративная","Молния/Шнурки",40,95,6
"Thomas Munz","Ботинки","Коричневый","Муж.","Зима",7839.0,11199.0,"Кожа из спилка","Натуральная шерсть","Натуральная шерсть","Резина","Нет","Молния/Шнурки",50,115,6
"SALAMANDER","Ботинки","Черный","Муж.","Зима",11199.0,15999.0,"Натуральная кожа","Натуральный мех","Натуральный мех","Резина","Нет","Молния/Шнурки",30,115,6
"Thomas Munz","Ботинки","Черный","Муж.","Зима",7769.0,11099.0,"Кожа из спилка","Натуральная шерсть","Натуральная шерсть","Резина","Нет","Молния/Шнурки",50,115,6
"Thomas Munz","Ботинки","Черный","Муж.","Зима",7559.0,10799.0,"Кожа из спилка","Натуральная шерсть","Натуральная шерсть","ТЭП","Нет","Молния/Шнурки",32,95,6
"SALAMANDER","Ботинки","Черный","Муж.","Зима",11199.0,15999.0,"Натуральная кожа","Натуральный мех","Натуральный мех","Резина","Нет","Шнурки",35,100,6
"SALAMANDER","Ботинки","Черный","Муж.","Зима",9729.0,13899.0,"Нубук","Натуральная шерсть","Натуральная шерсть","ТЭП","Нет","Молния/Шнурки",30,110,6
"Thomas Munz","Ботинки","Коричневый","Муж.","Зима",9799.0,13999.0,"Натуральная кожа","Натуральная шерсть","Натуральная шерсть","ЭВА","Нет","Молния/Шнурки",35,150,6
"Thomas Munz","Ботинки","Коричневый","Муж.","Зима",6159.0,8799.0,"Кожа из спилка","Натуральная шерсть","Натуральная шерсть","ТЭП","Нет","Молния/Шнурки",40,125,6
"Thomas Munz","Ботинки","Черный","Муж.","Зима",6299.0,8999.0,"Кожа из спилка","Натуральная шерсть","Натуральная шерсть","Резина","Нет","Молния/Шнурки",35,125,7
"Thomas Munz","Ботинки","Черный","Муж.","Зима",7419.0,10599.0,"Кожа из спилка","Натуральная шерсть","Натуральная шерсть","Резина","Нет","Молния/Шнурки",40,140,6
"Thomas Munz","Ботинки","Черный","Муж.","Зима",6299.0,8999.0,"Кожа из спилка","Натуральная шерсть","Натуральная шерсть","ТЭП","Нет","Молния/Шнурки",40,115,7
"Thomas Munz","Ботинки","Черный","Муж.","Зима",8679.0,12399.0,"Натуральная кожа","Натуральный мех","Натуральный мех","ТЭП","Нет","Молния",30,135,6
"Thomas Munz","Ботинки","Коричневый","Муж.","Зима",8539.0,12199.0,"Натуральная кожа","Натуральный мех","Натуральный мех","Резина","Нет","Молния",30,120,6
"Thomas Munz","Ботинки","Черный","Муж.","Зима",6369.0,9099.0,"Кожа из спилка","Натуральная шерсть","Натуральная шерсть","ТЭП","Нет","Молния/Шнурки",40,135,7
"Thomas Munz","Ботинки","Черный","Муж.","Зима",6159.0,8799.0,"Кожа из спилка","Натуральная шерсть","Натуральная шерсть","ТЭП","Нет","Молния/Шнурки",40,115,6
"Thomas Munz","Ботинки","Черный","Муж.","Зима",8889.0,12699.0,"Натуральная кожа","Натуральная шерсть","Натуральная шерсть","ЭВА","Нет","Молния/Шнурки",38,110,6
"Thomas Munz","Ботинки","Черный","Муж.","Зима",8539.0,12199.0,"Натуральная кожа","Натуральная шерсть","Натуральная шерсть","Резина","Нет","Молния/Шнурки",35,120,6
"Thomas Munz","Ботинки","Черный","Муж.","Зима",7979.0,11399.0,"Кожа из спилка","Натуральная шерсть","Натуральная шерсть","Резина","Нет","Молния/Шнурки",26,110,6
"Thomas Munz","Ботинки","Синий","Муж.","Зима",9309.0,13299.0,"Нубук","Натуральная шерсть","Натуральная шерсть","ТЭП","Нет","Молния/Шнурки",40,110,6
"Thomas Munz","Ботинки","Черный","Муж.","Зима",9309.0,13299.0,"Нубук","Натуральная шерсть","Натуральная шерсть","ТЭП","Нет","Молния/Шнурки",40,110,6
"Thomas Munz","Ботинки","Черный","Муж.","Зима",9659.0,13799.0,"Нубук","Натуральная шерсть","Натуральная шерсть","ЭВА","Нет","Молния/Шнурки",35,140,6
"SALAMANDER","Ботинки","Хаки","Муж.","Зима",7139.0,10199.0,"Кожа из спилка","Натуральная шерсть","Натуральная шерсть","ЭВА","Нет","Шнурки",25,80,6
"SALAMANDER","Ботинки","Черный","Муж.","Зима",7699.0,10999.0,"Текстиль","Натуральная шерсть","Натуральная шерсть","ТЭП","Нет","Шнурки",30,110,6
"SALAMANDER","Ботинки","Коричневый","Муж.","Зима",7139.0,10199.0,"Кожа из спилка","Натуральная шерсть","Натуральная шерсть","ЭВА","Нет","Шнурки",25,80,6
"SALAMANDER","Ботинки","Черный","Муж.","Зима",7699.0,10999.0,"Текстиль","Натуральная шерсть","Натуральная шерсть","ТЭП","Нет","Шнурки",30,110,6
"SALAMANDER","Ботинки","Хаки","Муж.","Зима",8749.0,12499.0,"Кожа из спилка","Натуральная шерсть","Натуральная шерсть","Резина","Нет","Шнурки",32,110,6
"Thomas Munz","Ботинки","Коричневый","Муж.","Зима",8889.0,12699.0,"Натуральная кожа","Натуральная шерсть","Натуральная шерсть","ЭВА","Нет","Молния/Шнурки",38,110,6
"Thomas Munz","Ботинки","Коричневый","Муж.","Зима",7349.0,10499.0,"Кожа из спилка","Натуральная шерсть","Натуральная шерсть","ТЭП","Нет","Молния",30,100,6
"Thomas Munz","Ботинки","Черный","Муж.","Зима",7349.0,10499.0,"Кожа из спилка","Натуральная шерсть","Натуральная шерсть","ТЭП","Нет","Молния",30,100,6
"Thomas Munz","Ботинки","Коричневый","Муж.","Зима",7769.0,11099.0,"Кожа из спилка","Натуральная шерсть","Натуральная шерсть","ТЭП","Нет","Молния/Шнурки",50,115,6
"SALAMANDER","Ботинки","Коричневый","Муж.","Зима",12459.0,17799.0,"Натуральная кожа","Натуральный мех","Натуральный мех","Резина","Нет","Молния",30,110,6
"Thomas Munz","Ботинки","Коричневый","Муж.","Зима",7979.0,11399.0,"Кожа из спилка","Натуральная шерсть","Натуральная шерсть","Резина","Нет","Молния/Шнурки",26,110,6
"Thomas Munz","Ботинки","Коричневый","Муж.","Зима",9029.0,12899.0,"Нубук","Натуральная шерсть","Натуральная шерсть","ТЭП","Нет","Молния/Шнурки",40,125,6
"Thomas Munz","Ботинки","Черный","Муж.","Зима",6509.0,9299.0,"Кожа из спилка","Шерсть","Шерсть","ТЭП","Нет","Молния/Шнурки",40,135,6
